DATE,SP500,SSE,TNX,JPN,GOLD
4/1/2016,2075.535238,2929.605957,1.488,15575.91992,1318.400024
5/1/2016,2065.550952,2979.339111,1.458,16569.26953,1349
6/1/2016,2083.891364,3085.490967,1.568,16887.40039,1306.900024
7/1/2016,2148.902,3004.702881,1.608,16449.83984,1313.300049
8/1/2016,2177.482174,3100.491943,1.834,17425.01953,1271.5
9/1/2016,2157.690952,3250.033936,2.368,18308.48047,1170.800049
10/1/2016,2143.020952,3103.636963,2.446,19114.36914,1150
11/1/2016,2164.985714,3159.166016,2.451,19041.33984,1252.599976
12/1/2016,2246.629048,3241.73291,2.358,19118.99023,1247.300049
1/1/2017,2275.116,3222.513916,2.396,18909.25977,1266.099976
2/1/2017,2329.910526,3154.657959,2.282,19196.74023,1272
3/1/2017,2366.822174,3117.177979,2.196,19650.57031,1240.699951
4/1/2017,2359.309474,3192.427002,2.302,20033.42969,1266.599976
5/1/2017,2395.345909,3273.028076,2.292,19925.17969,1316.199951
6/1/2017,2433.985455,3360.810059,2.121,19646.24023,1281.5
7/1/2017,2454.1025,3348.943115,2.326,20356.2793,1273.199951
8/1/2017,2456.223043,3393.342041,2.376,22011.60938,1306.300049
9/1/2017,2492.841,3317.187988,2.417,22724.96094,1339
10/1/2017,2556.997273,3307.172119,2.405,22764.93945,1315.5
11/1/2017,2593.605714,3480.833008,2.72,23098.28906,1322.800049
12/1/2017,2664.3405,3259.407959,2.868,22068.24023,1300.099976
1/1/2018,2789.80381,3168.896973,2.741,21454.30078,1251.300049
2/1/2018,2705.155263,3082.231934,2.936,22467.86914,1200.300049
3/1/2018,2702.77381,3095.474121,2.822,22201.82031,1191.5
4/1/2018,2653.625238,2847.417969,2.849,22304.50977,1212.300049
5/1/2018,2701.493636,2876.400879,2.964,22553.7207,1220.199951
6/1/2018,2754.352857,2725.25,2.853,22865.15039,1278.300049
7/1/2018,2793.643333,2821.350098,3.056,24120.03906,1319.699951
8/1/2018,2857.820435,2602.782959,3.159,21920.46094,1312.800049
9/1/2018,2901.500526,2588.187988,3.013,22351.06055,1293
10/1/2018,2785.464783,2493.895996,2.686,20014.76953,1282.800049
11/1/2018,2723.229524,2584.572021,2.635,20773.49023,1305.800049
12/1/2018,2567.307368,2940.954102,2.711,21385.16016,1409.699951
1/1/2019,2607.39,3090.758057,2.414,21205.81055,1426.099976
2/1/2019,2754.864211,3078.339111,2.509,22258.73047,1519.099976
3/1/2019,2803.98381,2898.696045,2.142,20601.18945,1511.400024
4/1/2019,2903.8,2978.87793,2,21275.91992,1465.599976
5/1/2019,2854.705909,2932.51001,2.021,21521.5293,1582.900024
6/1/2019,2890.166,2886.23999,1.506,20704.36914,1564.099976
7/1/2019,2996.113636,2905.189941,1.675,21755.83984,1684.199951
8/1/2019,2897.498182,2929.060059,1.691,22927.03906,1736.900024
9/1/2019,2982.156,2871.97998,1.776,23293.91016,1793
10/1/2019,2977.675217,3050.124023,1.919,23656.61914,1962.800049
11/1/2019,3104.9045,2976.528076,1.52,23205.17969,1967.599976
12/1/2019,3176.749524,2880.303955,1.127,21142.96094,1887.5
1/1/2020,3278.202857,2750.295898,0.698,18917.00977,1877.400024
2/1/2020,3277.314211,2860.082031,0.622,20193.68945,1893.099976
3/1/2020,2652.393636,2852.351074,0.648,21877.89063,1847.300049
4/1/2020,2761.975238,2984.674072,0.653,22288.14063,1728.099976
5/1/2020,2919.615,3310.00708,0.536,21710,1713.800049
6/1/2020,3104.660909,3395.677979,0.693,23139.75977,1767.300049
7/1/2020,3207.619091,3218.052002,0.677,23185.11914,1902.5
8/1/2020,3391.71,3224.532959,0.86,22977.13086,1910.300049
9/1/2020,3365.516667,3391.76001,0.844,26433.61914,1920
10/1/2020,3418.701364,3473.069092,0.917,27444.16992,1905
11/1/2020,3548.9925,3483.069092,1.093,27663.39063,1910
12/1/2020,3695.31,3509.080078,1.46,28966.00977,1930.2
1/1/2021,3793.748421,3441.909912,1.746,29178.80078,1910.03
2/1/2021,3883.432105,3446.860107,1.631,28812.63086,1919.03
3/1/2021,3910.508261,3506.939941,1.634,28098.25,1900
4/1/2021,4141.17619,3483.069092,1.631,28812.63086,1902.5
